n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
149 , 4958.467 , 1266.758 , 1 
150 , 5113.747 , 6000.0 , 0 
151 , 11425.465 , 40.0 , 1 
152 , 10944.249 , 40.0 , 1 
153 , 9637.278 , 40.0 , 1 
154 , 8089.41 , 546.084 , 1 
155 , 6284.281 , 40.0 , 1 
156 , 5201.801 , 523.392 , 1 
157 , 4199.594 , 340.205 , 1 
158 , 3316.218 , 40.0 , 1 
159 , 2801.22 , 375.86 , 1 
160 , 2334.297 , 2752.687 , 0 
161 , 5255.895 , 6000.0 , 0 
162 , 10866.532 , 6000.0 , 1 
163 , 12904.665 , 4200.0 , 1 
164 , 10815.081 , 6000.0 , 1 
165 , 11611.026 , 40.0 , 1 
166 , 12897.438 , 558.664 , 1 
167 , 11879.383 , 6000.0 , 1 
168 , 14989.448 , 6000.0 , 1 
169 , 15490.036 , 6000.0 , 1 
170 , 14766.297 , 40.0 , 1 
171 , 15419.532 , 1081.17 , 1 
172 , 13550.83 , 2000.165 , 1 
173 , 10911.55 , 6000.0 , 1 
174 , 14081.839 , 40.0 , 1 
175 , 13686.883 , 1240.84 , 1 
176 , 11423.959 , 6000.0 , 1 
177 , 14852.15 , 6000.0 , 1 
178 , 15509.62 , 40.0 , 1 
179 , 15435.206 , 40.0 , 1 
180 , 13862.2 , 1102.551 , 1 
181 , 11134.595 , 878.647 , 1 
182 , 9038.311 , 6000.0 , 1 
183 , 13788.623 , 6000.0 , 1 
184 , 15147.401 , 40.0 , 1 
185 , 14970.443 , 808.975 , 1 
186 , 12936.381 , 40.0 , 1 
187 , 11269.697 , 74.0 , 1 
188 , 9376.321 , 40.0 , 1 
189 , 7614.469 , 1023.141 , 1 
190 , 6632.735 , 6000.0 , 1 
191 , 12597.599 , 6000.0 , 1 
192 , 14622.028 , 6000.0 , 1 
193 , 14670.82 , 6000.0 , 1 
194 , 13825.695 , 40.0 , 1 
195 , 14858.735 , 40.0 , 1 
196 , 13841.729 , 984.63 , 1 
197 , 11437.127 , 1821.566 , 1 
198 , 9338.452 , 40.0 , 1 
199 , 8392.814 , 765.624 , 1 
200 , 6696.622 , 6000.0 , 1 

 a,b = (0.25,0.25) 
101 , 10056.019 , 6000.0 , 1 
102 , 9557.364 , 3900.0 , 1 
103 , 9856.512 , 6000.0 , 1 
104 , 9707.269 , 6000.0 , 1 
105 , 9391.616 , 6000.0 , 1 
106 , 9002.085 , 6000.0 , 1 
107 , 8595.342 , 40.0 , 1 
108 , 12158.672 , 913.939 , 1 
109 , 12750.173 , 40.0 , 1 
110 , 12998.581 , 1245.482 , 1 
111 , 11424.289 , 40.0 , 1 
112 , 10806.684 , 339.942 , 1 
113 , 9561.408 , 6000.0 , 1 
114 , 13302.555 , 6000.0 , 1 
115 , 14950.541 , 6000.0 , 1 
116 , 15318.126 , 6000.0 , 1 
117 , 14942.509 , 6000.0 , 1 
118 , 14172.316 , 6000.0 , 1 
119 , 13228.313 , 6000.0 , 1 
120 , 12245.542 , 40.0 , 1 
121 , 14535.928 , 816.126 , 1 
122 , 14336.182 , 1509.833 , 1 
123 , 12858.538 , 6000.0 , 1 
124 , 14337.363 , 6000.0 , 1 
125 , 14648.116 , 6000.0 , 1 
126 , 14282.408 , 40.0 , 1 
127 , 15334.566 , 64.0 , 1 
128 , 14952.494 , 44.8 , 1 
129 , 13821.448 , 720.839 , 1 
130 , 11817.167 , 6000.0 , 1 
131 , 14688.885 , 6000.0 , 1 
132 , 15761.172 , 6000.0 , 1 
133 , 15754.261 , 40.0 , 1 
134 , 15960.66 , 369.063 , 1 
135 , 14834.92 , 40.0 , 1 
136 , 13544.374 , 303.674 , 1 
137 , 11776.662 , 197.388 , 1 
138 , 10144.978 , 5658.208 , 1 
139 , 13536.753 , 6000.0 , 1 
140 , 15379.461 , 6000.0 , 1 
141 , 15829.766 , 1154.922 , 1 
142 , 14909.755 , 1847.875 , 1 
143 , 13012.856 , 1293.512 , 1 
144 , 11663.814 , 40.0 , 1 
145 , 11196.966 , 1390.718 , 1 
146 , 9224.017 , 40.0 , 1 
147 , 8637.69 , 64.0 , 1 
148 , 7752.526 , 44.8 , 1 
149 , 6788.491 , 1266.758 , 1 
150 , 5907.846 , 6000.0 , 0 
151 , 11038.967 , 40.0 , 1 
152 , 10418.164 , 40.0 , 1 
153 , 9420.328 , 40.0 , 1 
154 , 8272.774 , 546.084 , 1 
155 , 6733.162 , 40.0 , 1 
156 , 5860.001 , 523.392 , 1 
157 , 4642.553 , 340.205 , 1 
158 , 3837.682 , 40.0 , 1 
159 , 3391.503 , 375.86 , 1 
160 , 2679.162 , 2752.687 , 0 
161 , 5043.19 , 6000.0 , 0 
162 , 10288.944 , 6000.0 , 1 
