n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
109 , 8183.82886369 , 6000.0 , 1 
110 , 12439.6273126 , 6000.0 , 1 
111 , 14431.0372331 , 6000.0 , 1 
112 , 15024.2654863 , 4200.0 , 1 
113 , 14793.9397859 , 40.0 , 1 
114 , 12426.1493361 , 71.565 , 1 
115 , 13700.1328745 , 2117.829 , 1 
116 , 13539.3165603 , 3917.984 , 1 
117 , 11072.424911 , 6000.0 , 1 
118 , 10792.6095027 , 6000.0 , 1 
119 , 12808.0692416 , 40.0 , 1 
120 , 13516.2610171 , 594.117 , 1 
121 , 14299.5389484 , 1099.116 , 1 
122 , 13433.3238505 , 6000.0 , 1 
123 , 11764.8781797 , 6000.0 , 1 
124 , 14163.2129159 , 6000.0 , 1 
125 , 15002.0753977 , 6000.0 , 1 
126 , 14911.3058314 , 3900.0 , 1 
127 , 14303.2913359 , 6000.0 , 1 
128 , 12587.6095302 , 6000.0 , 1 
129 , 12376.8513764 , 40.0 , 1 
130 , 11859.7467039 , 226.981 , 1 
131 , 14056.9788992 , 419.915 , 1 
132 , 14276.6250779 , 2684.421 , 1 
133 , 13377.3727985 , 6000.0 , 1 
134 , 11044.9469188 , 6000.0 , 1 
135 , 13354.8982416 , 6000.0 , 1 
136 , 14194.5647205 , 6000.0 , 1 
137 , 14154.7168199 , 4200.0 , 1 
138 , 13622.6325745 , 6000.0 , 1 
139 , 11937.0282112 , 40.0 , 1 
140 , 11750.2308232 , 937.591 , 1 
141 , 13809.5783688 , 1500.146 , 1 
142 , 13434.1694651 , 1050.102 , 1 
143 , 12020.0495528 , 6000.0 , 1 
144 , 10904.64613 , 40.0 , 1 
145 , 13408.0699984 , 1291.936 , 1 
146 , 13228.8634481 , 2390.082 , 1 
147 , 11364.8037981 , 6000.0 , 1 
148 , 9379.14018958 , 6000.0 , 1 
149 , 12337.7857729 , 6000.0 , 1 
150 , 13605.9123028 , 6000.0 , 1 
151 , 13843.8639569 , 6000.0 , 1 
152 , 13487.470265 , 4200.0 , 1 
153 , 12819.0319218 , 4590.667 , 1 
154 , 11561.7020241 , 40.0 , 1 
155 , 10101.3473301 , 715.656 , 1 
156 , 12348.4805441 , 1145.05 , 1 
157 , 12336.470943 , 801.535 , 1 
158 , 11281.3691084 , 40.0 , 1 
159 , 10311.9906322 , 290.642 , 1 
160 , 9743.46301232 , 6000.0 , 1 
161 , 8629.21828786 , 3900.0 , 1 
162 , 12744.5513194 , 40.0 , 1 
163 , 12012.8916922 , 980.972 , 1 
164 , 11770.0601172 , 6000.0 , 1 
165 , 10194.6095989 , 6000.0 , 1 
166 , 13323.6190659 , 6000.0 , 1 
167 , 14625.9606995 , 4200.0 , 1 
168 , 14819.4053247 , 6000.0 , 1 
169 , 12202.1028935 , 6000.0 , 1 
170 , 12423.4154951 , 6000.0 , 1 
171 , 12146.4403651 , 6000.0 , 1 
172 , 11606.4893317 , 4200.0 , 1 
173 , 10952.3612921 , 6000.0 , 1 
174 , 10503.6502491 , 6000.0 , 1 
175 , 10248.2032268 , 6000.0 , 1 
176 , 9839.00157513 , 6000.0 , 1 
177 , 9368.88804761 , 4200.0 , 1 
178 , 8893.8936854 , 6000.0 , 1 
179 , 9244.99952678 , 6000.0 , 1 
180 , 9090.31519804 , 6000.0 , 1 
181 , 8810.16056324 , 6000.0 , 1 
182 , 8476.93854597 , 6000.0 , 1 
183 , 8134.69250213 , 6000.0 , 1 
184 , 7808.76082109 , 40.0 , 1 
185 , 7512.37669918 , 781.065 , 1 
186 , 11487.4279619 , 507.692 , 1 
187 , 12452.1312995 , 40.0 , 1 
188 , 12470.3650332 , 40.0 , 1 
189 , 12083.7234438 , 870.711 , 1 
190 , 11113.5048346 , 6000.0 , 1 
191 , 9252.62956471 , 40.0 , 1 
192 , 13043.893782 , 40.0 , 1 
193 , 12299.6041301 , 40.0 , 1 
194 , 11114.7159429 , 865.303 , 1 
195 , 9756.04659111 , 6000.0 , 1 
196 , 7765.56491879 , 40.0 , 1 
197 , 12284.71752 , 684.606 , 1 
198 , 11463.1302668 , 40.0 , 1 
199 , 9803.58729523 , 707.356 , 1 
